HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
18,0,2,1,0,-1,100.0,60.0,3.4,3.0,16.8,17.2,10.4,11.0,6.6,6.6,0.8,2.0,7.8,10.4,2011,18
23,19,0,0,2,17,20.0,60.0,1.2,1.0,13.8,10.8,6.2,6.0,4.4,3.8,1.2,0.4,12.6,12.4,2011,18
30,28,2,1,0,-5,100.0,20.0,2.8,1.0,21.4,13.0,12.4,7.0,7.0,4.4,0.4,1.4,9.6,15.2,2011,18
2,3,0,1,2,1,20.0,20.0,1.2,1.0,13.6,11.4,8.6,7.0,4.6,4.2,2.2,2.2,12.6,18.0,2011,20
35,22,1,2,2,-1,40.0,0.0,1.8,1.0,16.6,9.2,10.4,5.2,7.6,3.2,1.6,2.4,13.0,20.6,2011,20
1,0,0,1,2,5,40.0,60.0,1.2,2.4,10.8,14.8,5.4,9.4,4.6,5.2,1.4,1.4,12.2,11.4,2011,21
11,29,2,1,0,-11,20.0,0.0,0.6,1.0,16.4,10.0,8.6,5.2,8.2,5.2,1.2,1.8,8.0,16.8,2011,21
12,19,0,0,5,7,60.0,80.0,2.2,1.2,19.0,12.0,12.6,6.6,6.0,4.2,1.2,0.2,13.4,11.8,2011,21
18,27,2,3,0,-10,100.0,40.0,3.2,0.8,16.2,8.0,10.6,4.4,6.0,4.2,0.8,2.2,8.8,11.8,2011,21
21,32,0,2,3,1,40.0,40.0,1.0,1.4,13.6,10.4,7.6,5.6,6.4,5.0,1.2,1.6,12.2,11.6,2011,21
23,28,0,2,3,8,20.0,20.0,1.0,0.8,12.6,12.2,5.0,6.6,3.2,3.6,1.4,1.2,14.8,16.2,2011,21
34,17,1,0,0,10,0.0,80.0,1.0,1.6,14.8,15.4,8.0,8.0,6.4,8.8,2.6,0.4,10.6,15.0,2011,21
30,9,1,1,1,3,100.0,60.0,2.2,2.0,19.8,15.6,11.6,9.4,7.4,5.8,0.4,0.6,10.2,13.2,2011,22
3,21,0,0,2,2,20.0,40.0,1.4,1.8,14.8,9.0,10.6,5.8,5.2,3.4,2.2,2.0,16.4,16.6,2011,26
9,12,1,1,1,-6,60.0,20.0,2.4,0.6,13.4,9.2,7.6,5.6,5.0,3.6,1.8,1.0,9.0,16.2,2011,26
17,2,1,1,1,-9,20.0,0.0,0.8,1.8,19.0,9.4,11.4,6.4,10.8,3.6,0.6,2.4,8.8,15.2,2011,26
19,34,2,5,0,-15,60.0,40.0,1.8,1.0,17.8,10.6,11.4,5.8,8.4,4.6,1.6,1.6,12.0,14.4,2011,26
27,1,1,0,0,4,60.0,20.0,2.0,1.0,11.8,9.8,5.8,5.4,6.2,5.2,1.6,1.8,10.0,14.2,2011,26
28,11,1,1,1,3,20.0,40.0,1.4,1.4,15.4,11.6,9.2,6.6,6.0,2.8,1.4,1.4,8.0,10.4,2011,26
32,18,1,0,0,8,40.0,60.0,1.2,3.0,13.0,13.6,7.8,7.8,5.2,3.2,1.6,1.2,13.6,13.0,2011,26
0,35,1,1,1,-13,80.0,0.0,2.0,0.6,14.6,8.8,8.4,4.6,8.6,4.0,0.6,2.8,7.8,17.4,2011,27
22,30,0,0,2,13,60.0,60.0,2.6,2.2,12.6,13.2,7.4,9.8,4.8,6.0,1.8,1.4,13.6,15.2,2011,27
29,23,1,1,1,0,60.0,20.0,1.4,1.0,12.0,11.4,6.6,6.4,6.4,5.2,0.4,2.8,10.6,18.8,2011,27
