HomeTeam,AwayTeam,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day,FTR
4,32,1,1,5,40.0,0.0,1.4,0.8,12.6,10.2,3.8,1.8,6.8,5.4,2.4,1.4,13.6,18.4,2016,7,1
10,27,2,1,1,20.0,40.0,0.6,1.4,14.2,12.0,5.4,4.4,8.8,3.0,1.0,2.2,11.8,13.0,2016,7,2
16,11,3,1,3,60.0,20.0,2.0,0.8,13.4,8.2,4.2,4.0,6.0,5.4,0.8,1.4,12.4,18.4,2016,7,2
22,19,0,1,14,20.0,20.0,1.2,0.6,12.6,9.2,3.4,3.6,6.0,7.2,1.8,1.4,11.4,17.6,2016,7,0
28,9,3,2,15,20.0,80.0,0.8,2.4,17.4,12.2,4.4,4.0,5.4,6.0,1.0,0.8,13.0,12.0,2016,7,2
33,29,1,4,4,60.0,20.0,2.0,1.2,15.6,11.0,5.2,2.2,5.2,4.8,1.2,2.6,10.4,14.4,2016,7,0
17,31,2,0,-12,60.0,40.0,2.8,0.8,18.0,9.4,7.4,3.2,7.0,4.0,0.8,1.8,8.2,16.2,2016,8,2
18,0,2,2,-1,60.0,20.0,2.2,1.8,18.2,13.0,5.0,5.0,8.8,4.2,0.8,1.6,8.0,14.4,2016,8,1
30,26,1,2,-2,60.0,40.0,2.2,1.4,22.4,12.4,8.6,3.6,6.2,7.0,0.8,1.4,8.6,11.2,2016,8,0
33,19,3,2,8,40.0,40.0,2.0,0.6,18.8,8.8,6.0,2.6,6.8,6.2,2.0,1.2,10.4,16.0,2016,10,2
17,9,1,1,5,60.0,60.0,2.6,2.4,19.6,10.8,7.0,4.8,8.0,5.0,0.8,1.2,10.2,13.6,2016,11,1
22,31,4,2,0,20.0,20.0,0.8,0.4,11.6,10.2,3.2,3.2,5.6,4.6,1.6,2.0,12.2,17.2,2016,11,2
28,11,3,0,5,20.0,0.0,1.0,0.4,16.2,8.0,4.2,3.6,4.8,4.6,1.2,1.8,12.4,22.0,2016,11,2
0,1,4,0,-14,60.0,0.0,1.8,0.6,17.6,6.6,6.4,1.4,6.8,2.8,0.6,2.2,8.8,14.8,2016,15,2
9,16,1,1,-13,20.0,60.0,2.0,1.2,16.2,12.0,5.2,4.6,8.8,5.6,1.8,0.6,13.2,16.6,2016,15,1
11,22,3,0,-7,20.0,20.0,1.0,0.2,15.2,9.8,4.6,2.4,7.2,2.8,1.6,0.8,13.4,12.0,2016,15,2
21,30,5,1,10,40.0,40.0,1.4,1.8,11.6,17.0,5.0,5.2,3.8,6.2,1.0,0.8,11.8,13.0,2016,15,2
26,10,4,1,-3,60.0,0.0,2.4,1.0,14.6,9.2,5.0,3.0,8.2,5.0,1.6,1.6,11.2,16.4,2016,15,2
27,33,2,1,-3,20.0,40.0,1.0,2.4,11.4,13.6,2.8,5.0,3.6,5.8,1.8,1.6,13.0,14.2,2016,15,2
29,18,1,1,6,80.0,40.0,1.2,2.0,12.6,11.2,4.2,5.6,3.8,4.0,0.4,1.0,10.4,9.2,2016,15,1
31,28,2,2,2,20.0,20.0,1.0,1.2,13.0,12.0,4.0,3.8,6.2,4.2,1.2,0.8,10.6,14.4,2016,15,1
32,17,1,1,7,40.0,60.0,0.8,2.6,12.2,15.6,3.2,6.4,5.6,5.6,1.4,1.6,9.6,14.4,2016,15,1
19,4,3,1,-14,80.0,40.0,1.2,1.2,14.8,11.4,5.0,2.6,8.8,5.4,0.2,1.4,9.2,12.6,2016,17,2
